id,carat,cut,color,clarity,depth,table,price,x,y,z
34007,0.42,Premium,G,VS2,59.8,58.0,847,4.86,4.9,2.92
11829,1.0,Premium,D,SI1,61.4,58.0,5096,6.4,6.34,3.91
37669,0.42,Premium,E,SI1,62.3,58.0,992,4.81,4.76,2.98
49838,0.52,Ideal,F,VVS2,62.0,55.0,2168,5.16,5.2,3.21
12626,1.05,Very Good,H,VS2,63.2,58.0,5292,6.46,6.39,4.06
24636,2.14,Premium,I,SI2,62.1,58.0,12970,8.31,8.23,5.13
33631,0.37,Premium,G,VS2,62.8,60.0,833,4.59,4.55,2.87
4191,0.7,Good,D,VS2,59.9,59.0,3561,5.69,5.73,3.42
53651,0.72,Good,F,VS2,61.1,60.0,2705,5.72,5.76,3.51
29135,0.33,Very Good,H,VVS1,62.5,55.0,692,4.43,4.47,2.78
26847,2.13,Premium,G,SI2,60.7,60.0,16778,8.27,8.37,5.05
42046,0.51,Ideal,E,SI2,58.3,62.0,1268,5.2,5.19,3.04
47773,0.51,Good,G,VVS2,63.7,54.0,1895,5.1,5.08,3.24
17749,1.51,Ideal,I,SI1,62.2,56.0,7145,7.36,7.27,4.55
12593,1.27,Ideal,J,VS2,61.8,54.0,5285,6.95,6.98,4.31
37475,0.42,Premium,G,VS1,62.4,59.0,984,4.8,4.78,2.99
13705,1.51,Good,E,I1,57.5,59.0,5601,7.56,7.51,4.33
29184,0.3,Ideal,F,VVS2,62.5,56.0,694,4.28,4.33,2.69
8784,1.0,Very Good,H,SI1,60.0,63.0,4469,6.37,6.34,3.81
7487,1.02,Good,F,SI2,63.8,53.0,4238,6.46,6.37,4.09
35879,0.32,Ideal,G,IF,61.9,54.0,918,4.4,4.42,2.73
13709,1.11,Good,F,SI1,62.1,61.0,5602,6.58,6.62,4.1
2260,0.9,Good,D,SI2,63.9,60.0,3153,6.07,6.11,3.89
36965,0.41,Premium,G,VS1,62.5,59.0,961,4.77,4.73,2.97
30561,0.31,Ideal,D,VS2,61.7,55.0,734,4.35,4.4,2.7
22050,0.31,Good,I,VS1,63.8,56.0,628,4.32,4.27,2.74
53555,0.58,Ideal,E,VVS2,61.8,57.0,2694,5.37,5.4,3.33
4860,1.16,Premium,D,I1,61.8,59.0,3711,6.78,6.74,4.18
20543,1.21,Ideal,E,SI1,61.8,56.0,8863,6.82,6.86,4.23
23780,1.2,Ideal,E,VVS2,62.2,57.0,11839,6.81,6.77,4.22
13150,0.9,Ideal,E,VS2,62.0,59.0,5439,6.17,6.21,3.84
32405,0.37,Premium,F,SI1,62.3,59.0,791,4.61,4.57,2.86
35764,0.4,Premium,E,VS2,62.5,58.0,912,4.65,4.73,2.93
17244,1.01,Premium,F,VS2,59.2,61.0,6900,6.59,6.55,3.89
41650,0.44,Good,D,VS2,60.6,64.0,1238,4.97,4.89,2.99
18825,0.9,Premium,D,VVS1,61.3,59.0,7711,6.18,6.12,3.77
32312,0.3,Very Good,G,VVS1,62.1,61.0,789,4.27,4.3,2.66
4468,0.7,Very Good,F,VVS1,63.1,58.0,3622,5.6,5.66,3.55
9962,1.07,Premium,F,SI2,60.3,58.0,4700,6.68,6.62,4.01
43695,0.5,Very Good,F,VS2,63.0,58.0,1436,5.05,5.08,3.19
48299,0.75,Very Good,J,SI1,63.1,57.0,1958,5.79,5.74,3.64
4139,0.77,Ideal,G,VS2,62.1,56.0,3544,5.84,5.88,3.64
14469,1.08,Ideal,H,VS2,62.1,56.0,5839,6.59,6.56,4.08
8039,0.78,Ideal,D,VS1,62.1,55.0,4336,5.9,5.95,3.68
574,0.85,Ideal,H,SI2,62.5,57.0,2833,6.02,6.07,3.78
10355,1.04,Premium,F,SI1,61.5,59.0,4770,6.53,6.47,4.0
43674,0.5,Very Good,D,SI1,62.8,53.0,1436,5.04,5.08,3.18
35521,0.43,Very Good,F,VS2,61.1,57.0,905,4.86,4.9,2.98
40360,0.43,Ideal,D,VS2,60.7,57.0,1129,4.91,4.88,2.97
10832,0.92,Ideal,E,SI2,62.3,56.0,4871,6.21,6.25,3.88
18870,1.41,Good,G,SI1,63.7,57.0,7738,7.13,7.03,4.51
40957,0.42,Ideal,G,VVS1,60.0,57.0,1179,4.84,4.86,2.91
37100,0.41,Ideal,E,SI1,62.4,55.0,969,4.78,4.74,2.97
38569,0.42,Ideal,H,VVS1,61.8,55.0,1035,4.85,4.8,2.98
46249,0.53,Premium,D,SI1,61.0,58.0,1753,5.22,5.18,3.17
35355,0.42,Ideal,D,SI2,62.4,57.0,898,4.81,4.78,2.99
19806,1.51,Premium,J,VS1,62.1,58.0,8371,7.36,7.4,4.58
53268,0.7,Premium,F,VS2,62.2,59.0,2648,5.68,5.64,3.52
48586,0.54,Ideal,D,VS2,61.1,57.0,1993,5.29,5.19,3.2
3630,0.71,Ideal,G,VS1,61.7,56.0,3431,5.72,5.75,3.53
46632,0.3,Very Good,E,SI1,62.9,56.0,526,4.25,4.3,2.69
28918,0.3,Ideal,G,VVS2,61.5,56.0,684,4.31,4.34,2.66
45850,0.6,Ideal,I,VVS1,62.0,56.0,1715,5.39,5.43,3.35
32386,0.32,Ideal,D,VVS2,62.2,56.0,790,4.37,4.41,2.73
22643,1.66,Ideal,I,VS1,61.0,55.0,10691,7.67,7.64,4.67
20487,1.5,Premium,G,SI2,60.1,59.0,8820,7.38,7.36,4.43
19896,1.51,Very Good,H,SI2,60.2,59.0,8444,7.33,7.43,4.44
42908,0.39,Premium,G,IF,59.0,60.0,1362,4.78,4.75,2.81
10653,1.27,Premium,I,SI2,62.0,60.0,4836,6.91,6.86,4.27
13663,1.05,Good,H,VS2,63.7,58.0,5592,6.45,6.4,4.09
3574,0.96,Good,D,SI2,64.0,62.0,3419,6.16,6.13,3.93
50574,0.73,Fair,H,VS2,65.9,55.0,2278,5.68,5.64,3.74
13823,1.23,Premium,I,VS1,61.6,58.0,5632,6.9,6.84,4.23
50772,0.71,Good,F,SI1,57.9,53.0,2300,5.84,5.8,3.37
44930,0.5,Very Good,D,VS2,63.2,60.0,1632,5.04,5.02,3.18
20575,1.29,Ideal,H,VS1,61.2,57.0,8887,7.01,7.05,4.3
53082,1.02,Ideal,J,SI2,61.6,55.0,2611,6.49,6.43,3.98
35544,0.35,Ideal,F,VS2,62.1,57.0,906,4.55,4.53,2.82
18385,0.26,Ideal,F,VS1,62.4,53.0,618,4.11,4.13,2.57
21037,0.31,Good,G,VS1,63.3,56.0,625,4.29,4.33,2.73
22673,1.26,Ideal,G,VVS1,62.1,57.0,10720,6.91,7.01,4.32
24581,2.48,Ideal,I,SI2,62.3,57.0,12883,8.64,8.58,5.36
1291,0.7,Ideal,E,VS2,61.9,58.0,2952,5.7,5.73,3.54
38743,0.35,Premium,E,VVS1,60.7,59.0,1044,4.55,4.58,2.77
34380,0.41,Premium,I,VVS1,61.5,59.0,863,4.75,4.81,2.94
44982,0.31,Premium,G,SI2,61.8,59.0,523,4.34,4.3,2.67
33429,0.32,Ideal,G,VS1,60.5,56.0,828,4.44,4.42,2.68
51489,0.71,Ideal,F,SI1,62.9,57.0,2381,5.71,5.65,3.57
24787,1.51,Premium,G,VS2,60.8,60.0,13157,7.42,7.38,4.5
26988,2.13,Premium,H,SI2,62.3,57.0,17073,8.24,8.16,5.11
17131,0.8,Very Good,D,IF,63.3,57.0,6834,5.85,5.87,3.71
16612,1.03,Ideal,H,VVS2,62.2,55.0,6638,6.43,6.49,4.03
36882,0.32,Ideal,F,IF,61.2,57.0,958,4.44,4.45,2.72
23222,1.7,Premium,F,SI2,60.5,59.0,11228,7.77,7.73,4.69
39338,0.49,Premium,F,SI1,60.5,60.0,1072,5.1,5.08,3.08
9184,1.08,Ideal,G,SI2,62.2,56.0,4544,6.56,6.59,4.09
45690,0.51,Very Good,F,VS1,62.4,59.0,1697,5.04,5.09,3.16
47983,0.26,Good,D,VVS1,64.3,55.0,532,4.05,4.1,2.62
10433,1.06,Premium,H,SI1,61.6,59.0,4785,6.54,6.55,4.03
31730,0.31,Ideal,G,VVS1,60.8,56.0,772,4.41,4.43,2.69
8921,1.0,Good,E,SI2,63.3,58.0,4496,6.32,6.35,4.01
30217,0.33,Ideal,E,VS2,62.3,55.0,723,4.43,4.46,2.77
4737,0.3,Ideal,F,VS2,61.1,56.0,573,4.36,4.38,2.67
20722,0.31,Premium,F,VS2,62.7,59.0,625,4.3,4.34,2.71
51806,0.75,Premium,G,SI1,60.4,58.0,2415,5.88,5.84,3.54
32596,0.3,Ideal,F,VVS1,61.2,55.0,802,4.33,4.36,2.66
45876,0.51,Very Good,E,VS1,60.0,57.0,1717,5.18,5.25,3.13
25844,1.71,Very Good,H,VVS2,61.2,62.0,14893,7.59,7.65,4.66
51389,0.71,Ideal,G,SI1,60.6,56.0,2368,5.76,5.82,3.51
48317,0.28,Very Good,F,VS1,62.3,52.0,536,4.2,4.26,2.62
33580,0.38,Ideal,H,VVS2,62.1,53.9,832,4.64,4.69,2.9
50279,0.7,Very Good,E,SI1,60.3,58.0,2239,5.73,5.85,3.49
27976,0.3,Very Good,E,VS2,62.4,56.0,658,4.25,4.28,2.66
39217,0.43,Ideal,F,VS2,61.1,57.0,1066,4.88,4.91,2.99
40965,0.37,Ideal,E,VVS1,61.5,56.0,1179,4.64,4.59,2.84
38572,0.4,Premium,H,VS1,62.6,58.0,1035,4.73,4.66,2.94
18288,1.01,Good,G,VVS2,63.1,56.0,7430,6.34,6.4,4.02
52550,0.57,Ideal,E,VVS2,61.9,55.0,2534,5.34,5.36,3.31
24568,2.03,Premium,J,SI1,62.1,59.0,12862,8.06,8.12,5.02
6271,1.04,Premium,F,SI2,62.8,60.0,4013,6.41,6.38,4.01
37659,0.42,Premium,F,SI1,60.8,58.0,992,4.87,4.83,2.95
36739,0.32,Premium,G,IF,62.0,60.0,954,4.37,4.41,2.72
38319,0.52,Ideal,I,SI1,62.0,54.0,1019,5.17,5.19,3.21
7289,1.07,Very Good,G,SI2,59.9,59.0,4201,6.61,6.67,3.98
22024,0.34,Ideal,G,VS2,61.0,55.0,628,4.56,4.58,2.79
20187,1.22,Very Good,G,VS1,62.2,58.0,8633,6.75,6.81,4.22
49979,0.31,Very Good,I,VVS1,63.6,55.0,541,4.27,4.32,2.73
3432,0.9,Premium,I,VS2,59.1,59.0,3385,6.28,6.24,3.7
23186,1.5,Very Good,E,SI1,64.0,58.0,11194,7.21,7.23,4.62
27206,2.01,Ideal,I,VS1,62.5,56.0,17523,8.0,7.96,4.99
35999,0.42,Premium,G,VS1,60.5,59.0,921,4.79,4.83,2.91
17899,1.0,Good,E,VVS2,65.3,56.0,7226,6.19,6.24,4.06
167,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67
48160,0.71,Very Good,G,SI1,61.1,61.0,1942,5.71,5.72,3.49
20395,0.31,Very Good,F,VS2,62.8,57.0,625,4.34,4.36,2.73
34027,0.44,Premium,D,SI1,61.9,59.0,849,4.86,4.9,3.02
37104,0.38,Ideal,G,SI1,62.1,54.0,969,4.67,4.64,2.9
50169,0.71,Ideal,I,SI1,62.5,57.0,2218,5.69,5.74,3.57
3002,0.77,Ideal,E,VS2,61.0,56.0,3303,5.91,5.96,3.62
42575,0.59,Good,E,SI2,57.4,62.0,1327,5.53,5.49,3.16
26361,0.32,Premium,G,VS1,62.1,58.0,645,4.37,4.39,2.72
6532,0.92,Ideal,G,SI2,62.4,56.0,4068,6.21,6.23,3.88
37973,0.41,Premium,F,VS1,59.9,58.0,1007,4.81,4.84,2.89
39073,0.55,Ideal,J,SI1,62.5,57.0,1059,5.24,5.22,3.27
36282,0.32,Premium,G,SI1,61.6,58.0,477,4.36,4.4,2.7
26946,2.01,Very Good,F,SI2,62.0,54.0,17005,8.03,8.12,5.01
27640,2.38,Premium,J,VS2,62.1,58.0,18559,8.54,8.49,5.29
26280,2.02,Good,I,VS1,65.5,57.0,15765,7.88,7.96,5.19
47225,0.71,Ideal,G,SI2,62.8,57.0,1840,5.68,5.63,3.55
8086,1.01,Premium,G,SI1,62.8,59.0,4338,6.33,6.29,3.96
29446,0.41,Very Good,F,SI1,62.5,58.0,702,4.74,4.77,2.97
51515,0.7,Ideal,D,SI2,61.6,56.0,2384,5.73,5.69,3.52
50879,0.7,Premium,G,VS2,62.1,60.0,2314,5.71,5.65,3.53
42474,0.5,Ideal,F,SI1,61.3,56.0,1317,5.13,5.09,3.13
2774,0.7,Ideal,G,VS2,61.6,57.0,3253,5.7,5.73,3.53
36563,0.36,Ideal,G,VVS1,62.1,56.0,945,4.6,4.58,2.85
24573,1.6,Ideal,F,SI1,61.0,57.0,12871,7.54,7.6,4.62
7147,0.93,Ideal,E,SI1,62.0,56.0,4179,6.25,6.29,3.89
42408,0.52,Very Good,I,VS1,61.0,58.0,1310,5.18,5.22,3.17
31344,0.27,Ideal,F,VVS2,62.7,55.0,760,4.1,4.12,2.58
26964,2.4,Ideal,I,SI2,63.8,58.0,17039,8.41,8.37,5.35
32648,0.31,Ideal,H,VVS2,61.1,56.0,802,4.37,4.33,2.66
12909,1.2,Premium,I,VVS2,63.0,60.0,5376,6.71,6.63,4.2
38282,0.28,Very Good,F,VS2,62.7,58.0,487,4.14,4.15,2.6
22773,1.35,Ideal,D,VS2,61.3,57.0,10796,7.13,7.09,4.36
7992,1.03,Very Good,E,SI2,60.7,63.0,4326,6.48,6.44,3.92
42512,0.51,Ideal,F,SI1,61.2,56.0,1322,5.19,5.21,3.18
51283,0.77,Premium,E,SI2,58.2,60.0,2360,6.01,5.95,3.48
44187,0.51,Premium,D,SI1,60.1,60.0,1569,5.15,5.17,3.1
40663,0.5,Ideal,H,SI1,62.2,53.0,1154,5.06,5.14,3.17
42040,0.53,Ideal,H,SI1,61.0,56.0,1268,5.23,5.26,3.2
32829,0.35,Ideal,F,VVS2,61.3,55.0,806,4.57,4.6,2.81
50305,0.33,Very Good,F,SI1,61.2,58.1,544,4.48,4.51,2.75
27429,2.25,Premium,I,SI1,60.1,60.0,18034,8.55,8.51,5.13
50527,0.7,Ideal,E,VS2,61.4,57.0,2274,5.72,5.78,3.53
42964,0.47,Ideal,I,VVS1,61.6,55.0,1365,4.99,5.01,3.08
25235,2.07,Premium,H,SI1,61.1,58.0,13844,8.27,8.2,5.03
24767,1.72,Premium,H,VS2,61.9,56.0,13122,7.74,7.67,4.77
22940,1.2,Good,F,VVS1,63.6,57.0,10982,6.71,6.74,4.28
10236,0.91,Very Good,D,SI1,62.3,60.0,4746,6.15,6.21,3.85
2789,0.81,Ideal,H,VS1,61.8,58.0,3257,5.97,6.04,3.71
33031,0.3,Ideal,D,VVS2,62.2,55.0,814,4.32,4.33,2.69
7746,1.07,Premium,G,SI2,59.8,60.0,4278,6.7,6.65,3.99
33774,0.48,Ideal,I,SI1,62.5,54.0,841,5.04,5.07,3.16
33023,0.3,Ideal,D,VVS2,62.0,53.0,814,4.33,4.35,2.69
33572,0.45,Ideal,G,SI1,61.6,54.0,831,4.96,4.98,3.06
10003,1.03,Good,H,SI1,59.3,56.0,4705,6.57,6.66,3.92
42430,0.55,Ideal,F,SI2,61.1,56.0,1313,5.25,5.33,3.24
5845,0.92,Very Good,F,SI1,63.8,56.0,3920,6.12,6.17,3.92
11003,1.17,Premium,H,SI2,62.7,56.0,4914,6.74,6.68,4.21
12126,1.02,Premium,G,SI1,61.7,58.0,5169,6.47,6.37,3.96
21616,1.71,Very Good,J,VS1,61.2,59.0,9707,7.65,7.72,4.7
4328,1.01,Fair,F,SI2,66.7,64.0,3597,6.14,6.05,4.06
51787,0.7,Premium,F,SI1,60.8,58.0,2415,5.78,5.74,3.5
26692,0.28,Very Good,H,VS1,61.9,56.0,429,4.18,4.2,2.59
7571,0.91,Very Good,D,SI1,59.3,58.0,4253,6.33,6.38,3.77
5262,1.12,Very Good,E,SI2,60.9,63.0,3794,6.59,6.65,4.03
13458,1.15,Ideal,E,SI1,62.7,56.0,5526,6.73,6.7,4.21
24286,1.75,Premium,I,VS1,60.6,60.0,12529,7.84,7.8,4.74
46134,0.54,Very Good,F,VS2,63.0,56.8,1745,5.18,5.22,3.28
33529,0.35,Premium,D,VS2,61.9,58.0,829,4.51,4.6,2.82
1521,0.7,Ideal,D,VS2,62.8,57.0,2998,5.69,5.75,3.59
14924,1.5,Good,G,SI2,57.9,61.0,6006,7.52,7.48,4.35
42800,0.5,Very Good,E,SI1,60.7,58.0,1351,5.09,5.13,3.1
7542,1.1,Good,F,SI2,63.8,56.0,4244,6.53,6.48,4.15
29561,0.33,Premium,F,SI1,59.9,61.0,705,4.47,4.44,2.67
40178,0.5,Ideal,F,SI2,60.5,56.0,1118,5.17,5.19,3.14
2484,0.54,Premium,D,VVS1,61.4,57.5,3194,5.25,5.28,3.23
19278,1.52,Premium,H,VS2,61.0,61.0,8001,7.45,7.38,4.52
3099,1.02,Ideal,G,I1,61.5,56.0,3321,6.46,6.49,3.98
5457,1.01,Very Good,I,SI1,62.0,58.0,3832,6.43,6.47,4.0
22799,1.22,Ideal,E,VS1,61.8,56.0,10823,6.84,6.88,4.24
27293,2.0,Premium,H,SI1,62.6,56.0,17760,8.01,7.96,5.0
13681,1.19,Ideal,E,SI2,61.9,56.0,5598,6.84,6.8,4.22
13213,1.16,Premium,I,VS1,60.4,59.0,5457,6.89,6.82,4.14
14999,1.15,Premium,D,SI1,61.7,58.0,6041,6.76,6.69,4.15
119,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49
44903,0.5,Premium,G,VS1,60.8,60.0,1629,5.16,5.14,3.13
23214,1.61,Ideal,E,SI2,61.3,59.0,11220,7.47,7.57,4.61
2244,0.77,Ideal,G,VS1,62.2,56.0,3148,5.9,5.85,3.66
493,0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34
17238,1.42,Very Good,I,VS1,60.1,65.0,6894,7.28,7.2,4.35
39136,0.41,Ideal,G,VS2,62.7,56.0,1061,4.76,4.72,2.97
36715,0.56,Premium,F,I1,62.6,60.0,953,5.3,5.15,3.27
38057,0.57,Premium,D,SI2,61.3,59.0,1012,5.32,5.28,3.25
30821,0.33,Good,E,SI1,63.8,55.0,743,4.38,4.36,2.79
40573,0.4,Premium,D,VVS2,58.3,59.0,1152,4.9,4.88,2.85
32007,0.44,Good,D,SI1,58.8,62.0,777,4.97,5.0,2.93
18183,1.14,Ideal,G,VS2,62.0,55.0,7371,6.68,6.77,4.17
51364,0.78,Ideal,F,SI2,60.6,55.0,2365,5.99,6.0,3.63
32581,0.32,Good,E,VVS1,59.4,61.0,801,4.45,4.48,2.65
11155,0.91,Premium,H,VVS1,62.5,59.0,4944,6.19,6.16,3.86
8448,1.01,Very Good,H,VS1,63.5,56.0,4412,6.32,6.27,4.0
51542,0.78,Good,G,SI1,63.9,64.0,2386,5.82,5.7,3.68
43454,0.5,Very Good,E,SI1,63.2,57.0,1415,5.06,5.03,3.19
48701,0.54,Premium,D,VS2,62.2,56.0,2009,5.27,5.21,3.26
10223,0.97,Ideal,G,SI2,61.6,56.0,4743,6.31,6.39,3.91
9836,1.01,Premium,D,SI2,60.9,62.0,4672,6.45,6.43,3.92
13146,1.3,Premium,J,SI1,61.8,59.0,5438,6.99,6.95,4.31
35221,0.33,Very Good,E,VVS2,62.3,56.0,893,4.4,4.44,2.75
45905,0.54,Premium,D,SI1,60.2,62.0,1720,5.31,5.25,3.18
51240,0.7,Good,G,VS2,63.8,59.0,2353,5.51,5.55,3.53
6723,0.31,Ideal,G,VS2,62.1,55.0,577,4.35,4.38,2.71
11365,1.1,Very Good,G,SI1,59.4,58.0,4997,6.72,6.79,4.01
7884,1.04,Very Good,H,SI1,63.2,57.0,4310,6.45,6.4,4.06
5085,0.7,Ideal,D,VS1,61.4,54.2,3752,5.72,5.76,3.52
28331,0.33,Ideal,F,VS2,61.6,55.0,666,4.45,4.48,2.75
49299,0.41,Good,I,SI2,63.5,57.0,539,4.7,4.72,2.99
39872,0.36,Premium,E,VVS2,61.7,59.0,1102,4.56,4.52,2.8
9859,1.02,Very Good,F,SI1,63.5,57.0,4678,6.4,6.35,4.05
31254,0.46,Ideal,F,SI2,61.5,54.0,758,4.98,5.01,3.07
22237,1.5,Good,H,VS2,61.2,61.0,10291,7.25,7.32,4.46
45316,0.32,Very Good,G,VS2,60.1,61.0,524,4.41,4.44,2.66
24577,1.51,Very Good,G,VS2,63.5,57.0,12872,7.23,7.19,4.58
15667,1.01,Good,G,VS1,63.8,56.0,6283,6.27,6.34,4.02
11816,1.11,Premium,F,SI1,60.4,61.0,5091,6.72,6.65,4.04
30069,0.32,Ideal,G,VS2,60.3,57.0,720,4.46,4.43,2.68
26385,2.02,Very Good,G,SI2,62.8,55.0,15877,8.06,8.11,5.08
40845,0.58,Very Good,F,SI2,63.0,56.0,1173,5.34,5.26,3.34
25109,1.69,Ideal,I,VS2,60.5,56.0,13645,7.74,7.77,4.69
8249,1.01,Very Good,I,SI1,60.0,62.0,4375,6.41,6.53,3.88
45785,0.66,Premium,E,SI1,61.1,56.0,1708,5.68,5.62,3.45
74,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67
46917,0.57,Ideal,G,VS1,60.6,57.0,1815,5.38,5.41,3.27
42945,0.3,Premium,F,SI2,62.6,61.0,506,4.24,4.2,2.64
7686,1.2,Premium,F,SI2,62.7,60.0,4274,6.73,6.67,4.21
51852,0.7,Very Good,F,SI1,63.2,57.0,2423,5.68,5.62,3.57
36428,0.31,Ideal,D,VS2,61.3,57.0,942,4.4,4.37,2.69
34164,0.33,Premium,G,VS1,60.1,61.0,854,4.48,4.44,2.68
5478,1.12,Premium,G,SI2,61.0,60.0,3838,6.7,6.64,4.07
44586,0.53,Good,E,VS2,64.0,55.0,1607,5.11,5.14,3.28
33486,0.32,Ideal,F,VS2,62.6,55.0,828,4.41,4.38,2.75
3683,0.51,Ideal,D,IF,62.1,55.0,3446,5.12,5.13,3.19
23671,1.59,Good,F,SI1,63.6,57.0,11716,7.39,7.43,4.71
4504,0.9,Very Good,F,SI2,60.3,63.0,3630,6.28,6.21,3.77
28933,0.3,Premium,G,VVS2,61.0,60.0,684,4.3,4.32,2.63
42295,0.36,Good,E,SI2,63.7,54.0,505,4.52,4.55,2.89
22102,1.51,Good,H,VS1,59.9,61.0,10129,7.34,7.39,4.41
22854,1.22,Ideal,G,VVS1,61.1,56.0,10888,6.91,6.94,4.23
19198,1.14,Ideal,G,VS1,62.3,56.0,7948,6.73,6.7,4.18
39728,0.56,Very Good,G,SI2,62.8,58.0,1091,5.19,5.23,3.27
27397,2.39,Ideal,I,VS2,62.2,55.0,17955,8.58,8.56,5.33
308,0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8
29786,0.3,Ideal,D,SI1,62.1,54.0,709,4.35,4.31,2.69
26508,1.2,Ideal,D,VVS2,61.9,56.0,16130,6.81,6.83,4.22
40570,0.52,Ideal,G,SI2,63.0,55.0,1151,5.14,5.12,3.23
14235,0.96,Ideal,F,VS1,61.2,56.0,5767,6.34,6.38,3.89
37533,0.38,Very Good,F,VS1,59.7,61.0,988,4.69,4.73,2.81
39774,0.5,Premium,F,SI2,62.2,54.0,1094,5.14,5.08,3.18
15177,1.01,Premium,F,VS2,63.0,58.0,6097,6.43,6.36,4.03
50547,0.7,Very Good,H,VS2,62.9,58.0,2276,5.6,5.65,3.54
1615,0.8,Very Good,F,SI1,63.9,56.0,3013,5.84,5.87,3.74
20823,1.0,Premium,E,VVS2,62.7,60.0,9050,6.34,6.32,3.97
18437,1.5,Premium,H,SI2,62.1,59.0,7500,7.28,7.24,4.51
43525,0.41,Ideal,G,IF,62.0,55.0,1425,4.8,4.81,2.98
21452,1.72,Premium,H,SI1,62.0,57.0,9551,7.67,7.63,4.74
8685,0.7,Ideal,F,VVS1,62.2,57.0,4458,5.7,5.74,3.56
5954,0.7,Ideal,G,IF,61.3,56.0,3949,5.72,5.73,3.51
237,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72
43417,0.57,Ideal,D,SI2,61.4,56.0,1413,5.33,5.38,3.29
20042,0.42,Ideal,H,SI2,61.4,56.0,625,4.81,4.86,2.97
53672,0.71,Ideal,E,VS2,61.7,56.0,2709,5.73,5.75,3.54
44733,0.47,Ideal,D,VS1,61.0,55.0,1617,5.03,5.01,3.06
18848,1.5,Good,F,SI2,62.9,59.0,7727,7.19,7.32,4.56
45532,0.54,Good,G,VS1,60.8,62.0,1685,5.22,5.24,3.18
